NAME,NTEE_CD,Category,Location,lat_lon
REVIVAL OF POWER TOO CRUSADE MINISTRY,X20,X,"222 E ELM ST, LANSING, MI, 48910-1608","(-84.55043806122448, 42.721821)"
RECONCILIATION OF LIFE,X20,X,"1028 CASS AVE SE, GRAND RAPIDS, MI, 49507-1120","(-85.66259885714287, 42.945215142857144)"
WILLIAMSTON FOOTBALL BOOSTERS,N11,N,"3939 VANNETER RD, WILLIAMSTON, MI, 48895-1000","(-84.27636138941664, 42.7000311)"
MANY WATERS INTERNATIONAL MINISTRIES,X20,X,"2285 N STARK RD, MIDLAND, MI, 48642-9467","(-84.30994011409396, 43.679218812080535)"
HANFLIK FAMILY FOUNDATION,T22,T,"3112 OVERRIDGE DR, ANN ARBOR, MI, 48104-4124","(-83.69707724046903, 42.263327119768846)"
URBAN FAMILY MINISTRIES,P20,P,"543 EASTERN AVE SE, GRAND RAPIDS, MI, 49503-5541","(-85.6477433, 42.9230906)"
DEBRE GUENET ABUNE TEKLEHAIMANOT ETHIOPIAN ORTHODOX TEWAHDO CHURCH,X20,X,"2800 FISHER AVE, COMMERCE TWP, MI, 48390-1422","(-83.49625904161184, 42.5628148)"
BLAKELYS TENDER CARE,P70,P,"7076 BRIDGE WAY, W BLOOMFIELD, MI, 48322-3527","(-83.372976, 42.533524)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
MICHIGAN STATE UNIVERSITY,O52,O,"121 E MAPLE ST, MASON, MI, 48854-1655","(-84.44267214285713, 42.58027895918367)"
