NAME,NTEE_CD,Category,Location,lat_lon
PHFFFT COMPANY INC,A60Z,A,"5609 34TH AVE SW, SEATTLE, WA, 98126-2921","(-122.37524513329743, 47.55162035)"
NITARTHA INTERNATIONAL,A99,A,"3902 WOODLAND PARK AVE N, SEATTLE, WA, 98103-7929","(-122.34431846906787, 47.654226050000005)"
INTERNATIONAL PHALAENOPSIS ALLIANCE INC,B01,B,"892 PALOUSE PL, LA CONNER, WA, 98257-9618","(-122.51561088972116, 48.37957515)"
MARILYN AND SAUL SPILKE FOUNDATION,T20Z,T,"9915 270TH ST NW, STANWOOD, WA, 98292-8061","(-122.36724215306123, 48.241384387755105)"
STARFISH GROUP,T20,T,"1527 E HOWE ST, SEATTLE, WA, 98112-2823","(-122.31231220963976, 47.6358619)"
DANIELANDSOMESUPERFRIENDS INCORPORATED,A60,A,"1630 27TH AVE, SEATTLE, WA, 98122-3116","(-122.29719757560275, 47.6162866)"
MERCHANT RISK COUNCIL INC,S410,S,"600 STEWART STREET, SEATTLE, WA, 98101-1230","(-122.336968, 47.613889)"
SNOHOMISH COUNTY COALITION FOR SAFE KIDS,P20,P,"12425 MERIDIAN AVE S, EVERETT, WA, 98208-5728","(-122.23350130803686, 47.885278706424614)"
WASHINGTON STATE UNIVERSITY,O52,O,"6705 PUGET PARK DR, SNOHOMISH, WA, 98296-4214","(-122.1534974, 47.8632177)"
GRAND ILLUSION CINEMA,A31,A,"1403 NE 50TH ST, SEATTLE, WA, 98105-4408","(-122.312837, 47.664743)"
DESTINY OF HOPE FELLOWSHIP,X21,X,"101 S H ST, ABERDEEN, WA, 98520-6510","(-123.81642138384225, 46.975940949999995)"
HANDS OF LOVE SERVICES,P30,P,"7218 203RD STREET CT E, SPANAWAY, WA, 98387-5251","(-122.4079631, 47.0719554)"
NATIONAL FEDERATION OF MUSIC CLUBS,A68,A,"6552 40TH AVE SW, SEATTLE, WA, 98136-1810","(-122.38284595725689, 47.54328625)"
