NAME,NTEE_CD,Category,Location,lat_lon
DAKOTA ALLIANCE SOCCER CLUB,N64Z,N,"401 W 39TH ST, SIOUX FALLS, SD, 57105-5711","(-96.7299196080402, 43.51659247738693)"
PARALYZED VETERANS OF AMERICA,W30,W,"209 N GARFIELD AVE, SIOUX FALLS, SD, 57104-5601","(-96.75879034693877, 43.54942975510204)"
NORTH CENTRAL RESOURCE CONSERVATION AND DEVELOPEMENT ASSOCIATION INC,C300,C,"800 W DAKOTA AVE, PIERRE, SD, 57501-1877","(-100.3639, 44.371051)"
NORTHEAST AMBULANCE SERVICE,E62,E,"105 N TEDIN AVE, ROSHOLT, SD, 57260-2106","(-96.73006, 45.866106)"
BLACK HAWK VOLUNTEER FIRE DEPARTMENT,M24Z,M,"6010 PEACEFUL PINES RD, BLACK HAWK, SD, 57718-9623","(-103.3196365932841, 44.15479161834446)"
RAPID CITY CHRISTIAN EDUCATION ASSOCIATION INC,B25P,B,"23757 ARENA DR, RAPID CITY, SD, 57702-7302","(-103.2180433857122, 43.9603206)"
CARROLL INSTITUTE,F34Z,F,"310 S 1ST AVE, SIOUX FALLS, SD, 57104-6329","(-96.72516844897959, 43.54445253061224)"
CHRISTIAN LIFE MINISTRIES,P46Z,P,"1948 PLAZA BLVD, RAPID CITY, SD, 57702-9354","(-103.25476796137644, 44.104235781876554)"
HURON ADULT DAY CARE CENTER INCORPORATED,P700,P,"290-7TH ST SW, HURON, SD, 57350-2759","(-98.21889775510203, 44.358391918367346)"
SOUTH DAKOTA HISTORICAL SOCIETY FOUNDATION,A80,A,"900 GOVERNORS DR, PIERRE, SD, 57501-2200","(-100.3380432, 44.3727032)"
TWIN CITIES CHURCH OF CHRIST,X20Z,X,"519 MCQUILLAN ST, LEAD, SD, 57754-1626","(-103.76925550975129, 44.350093606696674)"
FAITH TEMPLE CHURCH OF GOD IN CHRIST,X20,X,"715 KANSAS CITY ST, RAPID CITY, SD, 57701-3638","(-103.22988927141031, 44.07922665984563)"
RONALD MCDONALD HOUSE CHARITIES OF SOUTH DAKOTA INC,P99,P,"825 S LAKE AVE, SIOUX FALLS, SD, 57104-4635","(-96.74510079591836, 43.53858353061224)"
MENNO HISTORICAL SOCIETY INC,A50,A,"301 S 5TH STREET, MENNO, SD, 57045-0000","(-97.578099, 43.23816)"
FLANDREAU FLIER BOOSTER CLUB,B94,B,"308 N WIND ST, FLANDREAU, SD, 57028-1214","(-96.59558162463235, 44.050708008700525)"
GRANT COUNTY ARC,D20,D,"803 E MILBANK AVE, MILBANK, SD, 57252-1413","(-96.627011, 45.222948)"
RENNER FIRE RESCUE INC,M24,M,"47417 258TH ST, RENNER, SD, 57055-6500","(-96.7367449, 43.6453878)"
WHITE AREA HISTORICAL SOCIETY INC,A80,A,"111 W 5TH ST, WHITE, SD, 57276-4800","(-96.64655730612245, 44.4325726122449)"
MECKLING CEMETERY ASSOCIATION,X50,X,"45355 312TH ST, MECKLING, SD, 57069-4403","(-97.13125910204081, 42.86630589795918)"
