NAME,NTEE_CD,Category,Location,lat_lon
TOASTMASTERS INTERNATIONAL,N500,N,"5455 LANCE DR, KNOXVILLE, TN, 37909-1818","(-84.00562877890793, 35.95102547402358)"
FOUNDING FAMILY CHARITABLE FOUNDATION,P31,P,"1004 RODNEY DR, NASHVILLE, TN, 37205-1018","(-86.90548731276357, 36.123456745337826)"
KETRON HIGH SCHOOL ALUMNI ASSOCIATION,B84,B,"2061 WELCH RD, KINGSPORT, TN, 37660-1762","(-82.51886705115501, 36.58013270946099)"
SOLID FOUNDATION BROADCASTING CORPORATION,X80,X,"401 W MAIN ST, GREENEVILLE, TN, 37743-4823","(-82.833141, 36.159505)"
CAMPBELL COUNTY CHILDRENS CENTER,O20,O,"203 INDEPENDENCE LN, LA FOLLETTE, TN, 37766-3066","(-84.15967577551021, 36.35398877551021)"
VETERANS FOR PEACE INC,W30Z,W,"1994 YOUNG AVE, MEMPHIS, TN, 38104-5643","(-89.99575526727712, 35.11982448997823)"
COVENANT GLORY MINISTRIES INC,P20,P,"5209 HUNTERS CV NW, CLEVELAND, TN, 37312-3213","(-84.85268647811242, 35.223535502997855)"
A M G INTERNATIONAL,Q300,Q,"6815 SHALLOWFORD RD, CHATTANOOGA, TN, 37421-1755","(-85.16456670857539, 35.045750076441244)"
MOVING VISIONS INCORPORATED,A62,A,"1726 MADISON AVE, MEMPHIS, TN, 38104-6401","(-90.00368124959225, 35.1383765)"
HABITAT FOR HUMANITY INTERNATIONAL INC,L20Z,L,"999 TENNESSEE AVE, SELMER, TN, 38375-5062","(-88.61703777955718, 35.2025288735068)"
WEST TENNESSEE EMERGENCY MANAGEMENT ASSOCIATION,M99,M,"1246 S MANUFACTURERS ROW, TRENTON, TN, 38382-3637","(-88.9496728, 35.956441)"
NEW JERUSALEM 5 FOLD MINISTRIES,X21,X,"1331 CROSSLAND AVE, CLARKSVILLE, TN, 37040-8621","(-87.33360849586089, 36.516885969184614)"
COMMUNITY BREADBASKET INC,K31,K,"2633 ALTRURIA RD, MEMPHIS, TN, 38134-4721","(-89.84981556522756, 35.1970660732603)"
ROBERT E AND JENNY D KIRKLAND FOUNDATION,T22,T,"624 E REELFOOT AVE, UNION CITY, TN, 38261-5739","(-89.05618401019466, 36.41445345790229)"
ROBERTSVILLE APARTMENTS INC,P11,P,"1104 ENGLAND DR, COOKEVILLE, TN, 38501-0924","(-85.48234110085122, 36.13617465506728)"
